First Author,Other Authors,Article Title,Date of Publication,Type of Publication,Publication,Volume (issue),ISSN,Archive,References Viewable?,Order Article?,ACL Citations,Keywords,DOI / HTML Address,Journal Impact Factor (uses ResearchGate data),Journal Impact Factor (Clarivate),Search Engine Ranking,Unique Site Visits (monthly),Pages per Visit,Views (Not Including Downloads),Citations,Downloads,"AltMetric (Shares, Likes, Comments)",Date Located,IMPACT_FACTOR
"Blackburn, J.","Locher, J. L., Morrisey, M. A., Becker, D. J., & Kilgore, M. L.",The effects of state-level expenditures for home- and community-based services on the risk of becoming a long-stay nursing home resident after hip fracture,2016-03-01 00:00:00,Journal,Osteoporosis International,27(3),0937-941X,Springer Link,Yes,,No,"""AGID"" AND ""ACL""",https://link.springer.com/article/10.1007/s00198-015-3327-3,,,,,,,,,,2018-06-19,3.856
"Crabtree, J. L.","Mushi-Brunt, C.",Public Transportation to Obtain Food: An Overlooked Instrumental Activity of Daily Living,2013-10-01 00:00:00,Journal,"OTJR: Occupation, Participation and Health",33(4),1539-4492,SAGE Journals,No,Yes,,"""NSOAAP""",https://doi.org/10.3928/15394492-20130912-05,0.76,,,,,160.0,6.0,,0.0,2018-06-28,1.0
"Felix, H. C.","Adams, B., Fausett, J. K., Krukowski, R. A., Prewitt, T. E., & West, D. S.","Calculating Reach of Evidence-Based Weight Loss and Memory Improvement Interventions Among Older Adults Attending Arkansas Senior Centers, 2008-2011",2012-02-23 00:00:00,Journal,Preventing Chronic Disease,9,1545-1151,NCBI,Yes,,"National Aging Program Information System (NAPIS);
National Survey of Older Americans Programs [AoA];
Translational Research to Help Older Adults Maintain their Health and Independence in the Community (R01). PA-11-123 [AoA, NIH];
Assessment of Title III-D of the Older Americans Act: Disease Prevention and Health Promotion Services (Report No. 08490.007.005) [ACL, RTI];","""NAPIS""",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3362406/,2.8,,,,,,2.0,,,2018-07-02,1.862
"Clune, A.","Fischer, J. G., Lee, J. S., Reddy, S., Johnson, M. A., & Hausman, D. B.",Prevalence and Predictors of Recommendations to Lose Weight in Overweight and Obese Older Adults in Georgia Senior Centers,2010-06-01 00:00:00,Journal,Preventive Medicine,51(1),0270-9961,ScienceDirect,No,Yes,,,https://doi.org/10.1016/j.ypmed.2010.04.003,3.62,,,,,13.0,13.0,204.0,,2018-07-05,
"Kietzman, K. G.","Benjamin, A. E.",Who's in Charge? A Review of Participant Direction in Long-Term Care,2016-01-01 00:00:00,Journal,Public Policy & Aging Report,26(4),1055-3037,Oxford Academic,No,Yes,,"""NSOAAP""",https://doi.org/10.1093/ppar/prw023,,,,,,91.0,0.0,50.0,0.0,2018-06-28,
"Tate, L. M.","Tsai, P. F., Rettiganti, M., Landes, R. D., Lefler, L. L., & Bryant-Moore, K.",Examining Exercise in Older Adults Using the Theory of Planned Behavior and Temporal Discounting,2017-11-22 00:00:00,Journal,Research in Gerontological Nursing,10(60,1940-4921,Healio,No,Yes,,"""AGID"" AND ""ACL""",https://doi.org/10.3928/19404921-20171013-02,0.71,,,,,12.0,,,,2018-06-19,0.855
"Felix, H. C.","Adams, B. A., Cornell, C. E., Fausett, J. K., Krukowski, R. A., Love, S. J., Prewitt, T. E., & West, D. S.",Barriers and Facilitators to Senior Centers Participating in Translational Research,2012-11-20 00:00:00,Journal,Research on Aging,36(1),0164-0275,SAGE Journals,No,N,,"""NAPIS""",https://doi.org/10.1177/0164027512466874,1.28,,,,,121.0,5.0,,1.0,2018-07-02,2.0
"Snyder, J.","Benson, W. F.",Adult Protective Services and the Long-Term Care Ombudsman Program,2017-02-24 00:00:00,Book,Elder Abuse,,,Springer Link,No,N,,"""AGID"" AND ""ACL"" AND ""NORS"" AND ""OAA""",https://link.springer.com/book/10.1007/978-3-319-47504-2,,,,18440000,2.28,,10.0,24000.0,,2018-06-19,
"Porter, K. E.","Cahill, S.",A State-Level Review of Diversity Initiatives in Congregate Meal Programs Established Under the Older Americans Act,2014-09-24 00:00:00,Journal,Research on Aging,37(7),0164-0275,SAGE Journals,No,Yes,,,https://doi.org/10.1177/0164027514552330,1.28,,,,,251.0,4.0,,1.0,2018-07-05,2.0
"Putnam, M.",,Extending the Promise of the Older Americans Act to Persons Aging With Long-Term Disability,2017-06-01 00:00:00,Journal,Research on Aging,39(6),0164-0275,SAGE Journals,No,Yes,,"""State Program Reports"" AND ""OAA"" ",https://doi.org/10.1177/0164027516681052,1.28,,,,,469.0,0.0,,2.0,2018-06-27,2.0
"Casey, J.","Daley, G., Mangan, S., & Schede, J.",Long Term Care Ombudsman: A Fifty State Study,n.d.,Research Brief,,,,Providence College,Yes,,"Elder Rights: LTC Ombudsman [AoA];
Older Americans Act [AoA, web];
National Ombudsman Reporting System (NORS) 2000","""NORS"" AND ""OAA""",https://pol.illinoisstate.edu/downloads/conferences/2005/Schede_2005.pdf,,,,"< 5,000",2.66,,,,,2018-06-27,
"Mauk, K. L.",,Gerontological Nursing: Competencies for Care,2017-04-14 00:00:00,Book,,,,Google Books,Yes,,"Aging Integrated Database (AGID) [Geographic Distribution];
A Profile of Older Americans: 2010 [AoA, web];
A Profile of Older Americans: 2011 [AoA, web];
A Statistical Profile of American Indian and Native Alaskan Elderly [AoA];
A Profile of Older Americans: 2015 [AoA, web]","""AGID"" AND ""ACL""",https://books.google.com/books?lr=&id=M1KSDgAAQBAJ&dq=%22AGID%22+AND+%22ACL%22&q=%22AGID%22+AND+%22ACL%22#v=snippet&q=%22AGID%22%20AND%20%22ACL%22&f=false,,,,29450000,2.0,,,,,2018-06-19,
"Stam, K. R.","Stanton, J. M., & Guzman, I. R.",Employee Resistance to Digital Information and Information Technology Change in a Social Service Agency: A Membership Category Approach,2004,Journal,Social Aspects of Digital Information in Perspective,5(4),1368-7506,Texas Digital Library,Yes,,National Aging Program Information System (NAPIS),"""NAPIS""",https://journals.tdl.org/jodi/index.php/jodi/article/view/150,,,,,,,29.0,,,2018-06-28,
"Moore, B.",,Nutritional Risk Screening and Dietary Intake Among Elderly Home-Delivered Meal Participants,2014-12-01 00:00:00,Academic Thesis,,,,Texas State University,Yes,,OAA Title III Services Target the Most Vulnerable Eldery in the United States. Administration on Aging Research Brief Number 2,"""AGID"" AND ""ACL""",https://digital.library.txstate.edu/bitstream/handle/10877/5918/MOORE-THESIS-2014.pdf?sequence=1,,,,17285,2.44,,,,,2018-06-19,
"Dabelko, H. I.",,A Comparative Analysis of Short Stays versus Long Stays in Adult Day Health Care Programs,2008-09-21 00:00:00,Journal,Social Work in Health Care,42(1),0098-1389,T and F Online,Yes,,No,"""NAPIS""",https://doi.org/10.1300/J010v42n01_04,,,,,,126.0,1.0,,,2018-07-02,1.097
"Richardson, V. E.","Dabelko, H., & Gregoire, T.",Adult Day Centers and Mental Health Care,2008-10-11 00:00:00,Journal,Social Work in Mental Health,6(3),1533-2985,T and F Online,Yes,,Older Adults and Mental Health: Issues and Opportunities [AoA],"""NAPIS""",https://doi.org/10.1300/J200v06n03_03,0.54,,,,,168.0,4.0,,0.0,2018-07-02,
"Troyer, J. L.","Racine, E. F., Ngugi, G. W., & McAuley, W. J.",The Effect of Home-Delivered Dietary Approach to Stop Hypertension (DASH) Meals on the Diets of Older Adults with Cardiovascular Disease,2010-05-01 00:00:00,Journal,The American Journal of Clinical Nutrition,91(5),0002-9165,Oxford Academic,Yes,,"Serving Elders at Risk: The Older Americans Act Nutrition Programs, National Evaluation of Elderly Nutrition Program, 1993-1995. Vol. 1: Title III: Evaluation Findings [AoA];",,https://doi.org/10.3945/ajcn.2009.28780,6.71,,,,,284.0,19.0,65.0,0.0,2018-07-09,6.549
"Sirey, J. A.","Banerjee, S., Marino, P., Halkett, A., Raeifar, E., Paggi, M., & Bruce, M. L.",Improving Mental Health Treatment Initiation among Depressed Community Dwelling Older Adults,2016-04-01 00:00:00,Journal,The American Journal of Geriatric Psychiatry,24(4),1064-7481,American Journal of Geriatric Psychology,No,Yes,,"""AGID"" AND ""ACL""",https://doi.org/10.1016/j.jagp.2015.11.005,0.44,,,,,28.0,2.0,53.0,,2018-06-19,3.48
"Lorenzetti, L.","Wells, L., Logie, C. H., & Callaghan, T.",Understanding and Preventing Domestic Violence in the Lives of Gender and Sexually Diverse Persons,2017-12-11 00:00:00,Journal,The Canadian Journal of Human Sexuality,26(3),1188-4517,University of Toronto Press,Yes,,No,"""NSOAAP""",https://doi.org/10.3138/cjhs.2016-0007,,,,,,,,,,2018-06-28,
"Davis, J. D.",,The Veteran's Administration's Connection to Age-Friendly Communities,2016-11-01 00:00:00,Journal,The Gerontologist,56(3),0016-9013,Oxford Academic,No,Yes,,"""State Program Reports"" AND ""OAA"" ",https://doi.org/10.1093/geront/gnw162.787,0.85,,,,,41.0,0.0,17.0,0.0,2018-06-27,4.078
"Estes, C. L.","Zulman, D. M., Goldberg, S. C., & Ogawa, D. D.",State Long Term Care Ombudsman Programs: Factors Associated with Perceived Effectiveness,2004-02-01 00:00:00,Journal,The Gerontologist,44(1),0016-9013,Oxford Academic,No,Yes,,"""NORS"" AND ""OAA""",https://doi.org/10.1093/geront/44.1.104,0.85,,,,,520.0,16.0,152.0,0.0,2018-06-27,4.078
"Firestone, S.",,"Viewing Community Through an ""Age in Everything"" Lens: The Livable Communities Collaborative",2016-11-01 00:00:00,Journal,The Gerontologist,56(3),0016-9013,Oxford Academic,No,N,,"""State Program Reports"" AND ""OAA"" ",https://doi.org/10.1093/geront/gnw162.785,0.85,,,,,33.0,0.0,15.0,0.0,2018-06-27,4.078
"Fischer, L. R.","Eustis, N. N.",DRGs and Family Care for the Elderly: A Case Study,1988-06-01 00:00:00,Journal,The Gerontologist,28(3),0016-9013,Oxford Academic,No,Yes,,"""NSOAAP""",https://doi.org/10.1093/geront/28.3.383,0.85,,,,,0.0,12.0,1.0,0.0,2018-06-28,4.078
"Jarosek, S.","Shippee, T. P., & Virnig, B.",Racial Disparities in the Use of the Medicare Hospice Benefit over Time,2015-11-01 00:00:00,Journal,The Gerontologist,55(2),0016-9013,Oxford Academic,No,N,,"""NORS"" AND ""OAA""",https://doi.org/10.1093/geront/gnv372.03,0.85,,,,,73.0,0.0,39.0,0.0,2018-06-27,4.078
"Myers, D.",,Come Together: Congregate Meal Participation in Illinois Planning and Service Area 05,2913-04-01 00:00:00,Academic Thesis,,,,Illinois State University,Yes,,"Administration on Aging [AoA, web]","""State Program Reports"" AND ""OAA"" ",https://ir.library.illinoisstate.edu/cppg/9/,,,,6666,2.08,37.0,,567.0,,2018-06-27,
"Torres-Gil, F. M.",,"Policy, Politics, Aging: Crossroads in the 1990s",1998,Book,New Directions in Old-Age Policies,,,Google Books,No,N,,"""NORS"" AND ""OAA""",https://books.google.com/books?hl=en&lr=&id=yHU9d_pah68C&oi=fnd&pg=PA75&dq=%22NORS%22+AND+%22OAA%22+&ots=IMMhM5gn59&sig=z0AUv8vDZi95fz5ERxstPdxrNF8#v=onepage&q&f=false,,,,29450000,2.0,,,,,2018-06-27,
"Moon, A.","Lubben, J. E., & Villa, V.",Awareness and Utilization of Community Long-Term Care Services by Elderly Korean and non-Hispanic White Americans,1998-06-01 00:00:00,Journal,The Gerontologist,38(3),0016-9013,PubMed,No,Yes,,,https://academic.oup.com/gerontologist/article/38/3/309/603303,0.85,,,,,379.0,61.0,510.0,0.0,2018-07-09,4.078
"Netting, F. E.","Paton, R. N., & Huber, R.",The Long-Term Care Ombudsman Program: What Does the Complaint Reporting System Tell Us?,1992-12-01 00:00:00,Journal,The Gerontologist,32(6),0016-9013,Oxford Academic,No,Yes,,,https://doi.org/10.1093/geront/32.6.843,0.85,,,,,3.0,18.0,4.0,0.0,2018-07-06,4.078
"Payne, M.","Applebaum, R., Molea, M., & Ross, D. E.",Funding Services from the Bottom Up: An Overview of Senior Services Levy Programs in Ohio,2007,Journal,The Gerontologist,47(4),0016-9013,PubMed,No,Yes,,,https://academic.oup.com/gerontologist/article/47/4/555/680312,0.85,,,,,58.0,2.0,90.0,0.0,2018-07-06,4.078
"McCleery, E.","Christensen, V., Peterson, K., Humphrey, L., & Helfand, M.",Evidence Brief: The Quality of Care Provided by Advanced Practice Nurses,2014-09-01 00:00:00,State Document,VA Evidence-based Synthesis Program Evidence Briefs,,,NCBI,Yes,,No,,https://www.ncbi.nlm.nih.gov/books/NBK384613/,,,,,,,,,,2018-07-09,
"Dong, X.",,"Elder Abuse: Research, Practice, and Health Policy. The 2012 GSA Maxwell Pollack Award Lecture",2014-04-01 00:00:00,Journal,The Gerontologist,54(2),0016-9013,Oxford Academic,Yes,,"Aging Statistics [AoA, web]",,https://doi.org/10.1093/geront/gnt139,0.85,,,,,16038.0,27.0,779.0,3.0,2018-07-06,4.078
"Sharkey, J. R.",,Longitudinal Examination of Homebound Older Adults Who Experience Heightened Food Insufficiency: Effect of Diabetes Status and Implications for Service Provision,2005-12-01 00:00:00,Journal,The Gerontologist,45(6),0016-9013,Oxford Academic,Yes,,No,"""NAPIS""",https://doi.org/10.1093/geront/45.6.773,,,,,,,,,,2018-06-28,4.078
"Allen, P. D.",,Long Term Care Ombudsman Volunteers: Making a Measurable Difference for Nursing Home Residents,n. d.,Journal,The International Journal of Volunteer Administration,24(2),1942-728X,Penn State University,Yes,,National Ombudsman Reporting System (NORS),"""NORS"" AND ""OAA""",http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.516.7187&rep=rep1&type=pdf,,,,,,,3.0,,,2018-06-27,
"Kitchener, M.","Ng, T., Carrillo, H., Miller, N. & Harrington, C.","Developing Personal Care Programs: National Trends and Interstate Variation, 1992-2002",2007-02-01 00:00:00,Journal,"The Journal of Health Care Organization, Provision, and Financing",44(1),469-580,SAGE Journals,Yes,N,Title III and Title VII State Program Report (SPR) Tables 1997-2002;,,https://doi.org/10.5034/inquiryjrnl_44.1.69,0.76,,,,,23.0,7.0,,0.0,2018-07-09,
"National Academy of Sciences, Engineering, and Medicine",Committee on Family Caregiving for Older Adults,Families Caring for an Aging America,2016-11-08 00:00:00,Book,,,,Google Books,Yes,,"FY 2016 Justification of Estimates for Appropriations Committees [ACL];
Aging Integrated Database (AGID) [Title VI Services by Tribal Organization];
National Study of Aging and Disability Resource Center Process and Outcome Study Report [ACL];
National Family Caregiver Support Program (NFSCP) Process Evaluation, Aging Network Webinar [ACL, Lewin Group]","""AGID"" AND ""ACL"" AND ""Title VI Services by Tribal Organization""",https://books.google.com/books?id=XLTxDQAAQBAJ&dq=%22AGID%22+AND+%22ACL%22&lr=&source=gbs_navlinks_s,,,,29450000,2.0,,,,,2018-06-19,
"Lee, J. S.","Johnson, M. A., Brown, A., & Nord, M.",Food Security of Older Adults Requesting Older Americans Act Nutrition Program in Georgia Can Be Validly Measured Using a Short Form of the U.S. Household Food Security Survey Module,2011-07-01 00:00:00,Journal,The Journal of Nutrition,141(7),1541-6100,Oxford Academic,Yes,,"Unofficial Compilation of the Older Americans Act of 1965, as Amended in 2006 (Public Law 109-365) [ACL];
NASUA State Aging Information Systems Management Study Final Report 2006 [AoA, westat]",,https://doi.org/10.3945/jn.111.139378,2.97,,,,,143.0,8.0,66.0,0.0,2018-07-06,
"Cho, J.","Thorud, J. L., Marishak-Simon, S., Hammack, L., & Stevens, A. B.","Frequency of Hospital Use Before and After Home-Delivery Meal by Meals on Wheels, of Tarrant County, Texas",2017-09-23 00:00:00,Journal,"The Journal of Nutrition, Aging, and Health",22(4),1760-4788,Springer Link,Yes,,"""Aging Integrated Database (AGID)"";
""Nutrition Services (OAA Title IIIC)"" (web)","""AGID"" AND ""ACL""",https://link.springer.com/article/10.1007/s12603-017-0973-5,2.62,,,,,,,149.0,6.0,2018-06-19,
"Penn, D. M.","Fischer, J. G., Lee, J. S., Hausman, D. B., & Johnson, M. A.",High BMI and Waist Circumference are Associated with a High Prevalence of Comorbidities in Older Americans Act Programs in Georgia Senior Centers,2009-10-30 00:00:00,Journal,"The Journal of Nutrition, Aging, and Health",13,1760-4788,Springer Link,Yes,,FY 2006 US Profile of OAA Programs [AoA],,https://doi.org/10.1007/s12603-009-0220-9,2.62,,,,,,14.0,138.0,,2018-07-09,
"Wunderlich, S.","Bai, Y., & Piemonte, J.",Nutrition risk factors among home delivered and congregate meal participants: Need for enhancement of nutrition education and counseling among home delivered meal participants,2011-11-01 00:00:00,Journal,"The Journal of Nutrition, Aging, and Health",15(9),1760-4788,Springer Link,Yes,,"AoA Nutrition Program Report [AoA];
Serving Elders at Risk. The Older Americans Act Nutrition Programs: National Evaluation of the Elderly Nutrition Program 1993-1995. Volume II: Title VI Evaluation Findings [AoA, Mathematica];
Elderly Nutrition Program Fact Sheet [AoA, web];
Results from the Administration on Aging's Third National Survey of Older Americans Act Program Participants [AoA, Mathematica];
State Program Reports (SPR);
Performance Outcome Measures Project (POMP). Pilot Study: Second National Survey of Older Americans Act Title III Service Recipients [AoA]","""State Program Reports"" AND ""OAA"" ",https://link.springer.com/article/10.1007/s12603-011-0090-9,2.62,,,,,,15.0,354.0,,2018-06-27,
"Brown, D. K.","Goins, R. T., & Briggs, R.",Long-Term Care in Rural West Virginia: Managed Care and Future Roles for the Aging Network,2008-04-08 00:00:00,Journal,The Journal of Rural Health,17(4),0890-765X,Wiley Online Library,No,Yes,,,https://doi.org/10.1111/j.1748-0361.2001.tb00286.x,1.26,,,,,,1.0,,,2018-07-09,1.7619999999999998
National Center on Senior Transportation,,Transportation: The Silent Need. Results of a National Survey of Area Agencies on Aging,2010-02-01 00:00:00,Research Brief,,,,n4a,Yes,,Fourth National Survey of Older Americans Act Program Participants (NSOAAP),"""National Survey of Area Agencies on Aging""",https://www.n4a.org/files/Transportation_TheSilentNeed.pdf,,,2085714,7242,1.98,,,,,2018-06-28,
"Thomas, K. S.","Akobundu, U., & Dosa, D.",More Than A Meal? A Randomized Control Trial Comparing the Effects of Home-Delivered Meals Programs on Participants' Feelings of Loneliness,2016-11-17 00:00:00,Journal,The Journals of Gerontology,71(6),1758-5368,Oxford Academic,No,Yes,,,https://doi.org/10.1093/geronb/gbv111,1.38,,,,,4055.0,4.0,654.0,470.0,2018-06-19,
"Tanner, R. C.",,Providers Issue Brief: Family Caregiving Year End Report-2003,2003-12-31 00:00:00,Research Brief,Health Policy Tracking Service,,,PubMed,No,Yes,,,https://www.ncbi.nlm.nih.gov/pubmed/14969270,,,,,,,,,,2018-07-05,
"Longacre, M. L.","Valdmanis, V. G., Handorf, E. A., Fang, C. Y.",Work Impact and Emotional Stress Among Informal Caregivers for Older Adults,2017-05-01 00:00:00,Journal,The Journals of Gerontology,72(3),1758-5368,Oxford Academic,Yes,,2009 National Survey of Older Americans Act Program Participants (NSOAAP),"""AGID"" AND ""ACL""",https://doi.org/10.1093/geronb/gbw027,1.38,,,,,1075.0,2.0,489.0,7.0,2018-06-19,
"Ruiz, S.","Spattford, M.",Research Prioritization Topic Brief: Comparative effectiveness of multicomponent management interventions for community-dwelling individuals with dementia,2015-09-28 00:00:00,Research Brief,,,,PCORI,Yes,,"Translating Innovation to Impact: Evidence-Based Interventions to Support People with Alzheimer's Disease and their Caregivers at Home and in the Community [AoA];
Aging Integrated Database (AGID)","""AGID"" AND ""ACL""",https://www.pcori.org/sites/default/files/PCORI-Topic-Brief-Dementia-CER-of-Multicomponent-Management-Interventions.pdf,,,632033,26439,2.21,,,,,2018-06-19,
"Wood, E. F.",,The Availability and Utility of Interdisciplinary Data on Elder Abuse,2006-05-01 00:00:00,National Center on Elder Abuse,,,,PJWA,Yes,,"A 2004 Survey of State Adult Protective Services: Abuse of Adults 60 Years of Age and Older [NCEA, ACL];
PRODUCED BY ACL","""NAPIS""",http://pjwa.com/wp-content/uploads/2014/12/Elder_Abuse_Report.pdf,,,"32,131,47","< 5,000",2.0,,,,,2018-06-28,
